6TSL_INV	9.61650	8.56405	7.80820	7.24048	6.80758	6.46862	6.19576	5.97546	5.79657	5.65046	5.52992	5.43729	5.35031	5.28221
6TSL_INV_iddq	5.55000e-08	5.87030e-08	6.20504e-08	6.55587e-08	6.92280e-08	7.30804e-08	7.71438e-08	8.14238e-08	8.59535e-08	9.07774e-08	9.59344e-08	1.01508e-07	1.07592e-07	1.14386e-07
6TSL_INV_iddarail	2.14332e-04	2.72412e-04	3.35305e-04	4.03344e-04	4.75755e-04	5.52192e-04	6.32738e-04	7.16628e-04	8.03444e-04	8.93383e-04	9.85567e-04	1.07866e-03	1.17605e-03	1.27448e-03
6TSL_INV_acceff	4.12460e-15	4.24374e-15	4.36533e-15	4.49454e-15	4.62825e-15	4.76395e-15	4.90168e-15	5.03912e-15	5.17590e-15	5.31490e-15	5.45128e-15	5.58686e-15	5.72134e-15	5.85512e-15
6TSL_INV_acreff	2.33150e+03	2.01804e+03	1.78868e+03	1.61095e+03	1.47088e+03	1.35783e+03	1.26401e+03	1.18581e+03	1.11991e+03	1.06314e+03	1.01443e+03	9.73229e+02	9.35149e+02	9.02151e+02
6TSL_NAND2B	1.67161e+01	1.46467e+01	1.31655e+01	1.20601e+01	1.12091e+01	1.05442e+01	1.00147e+01	9.58506	9.23084	8.93880	8.69497	8.49710	8.33231	8.18783
6TSL_NAND2B_iddq	3.19494e-08	3.38785e-08	3.58935e-08	3.80140e-08	4.02400e-08	4.25937e-08	4.50806e-08	4.77229e-08	5.05374e-08	5.35738e-08	5.68601e-08	6.04738e-08	6.45373e-08	6.91780e-08
6TSL_NAND2B_iddarail	1.10864e-04	1.42333e-04	1.76771e-04	2.13886e-04	2.53402e-04	2.95115e-04	3.38638e-04	3.84053e-04	4.31028e-04	4.79328e-04	5.28801e-04	5.79094e-04	6.29831e-04	6.82239e-04
6TSL_NAND2B_acceff	3.70876e-15	3.79235e-15	3.88051e-15	3.96998e-15	4.05914e-15	4.15029e-15	4.24042e-15	4.33197e-15	4.42197e-15	4.51122e-15	4.59899e-15	4.68737e-15	4.77192e-15	4.85851e-15
6TSL_NAND2B_acreff	4.50720e+03	3.86216e+03	3.39272e+03	3.03782e+03	2.76145e+03	2.54058e+03	2.36171e+03	2.21263e+03	2.08749e+03	1.98146e+03	1.89063e+03	1.81276e+03	1.74611e+03	1.68525e+03
6TSL_NOR2B	1.83480e+01	1.60385e+01	1.43709e+01	1.31428e+01	1.21949e+01	1.14609e+01	1.08651e+01	1.03872e+01	9.99291	9.66873	9.39927	9.17620	8.98140	8.82052
6TSL_NOR2B_iddq	5.05235e-08	5.33518e-08	5.63105e-08	5.93914e-08	6.26221e-08	6.60194e-08	6.95832e-08	7.33469e-08	7.73492e-08	8.16069e-08	8.61977e-08	9.12048e-08	9.67226e-08	1.02962e-07
6TSL_NOR2B_iddarail	1.01580e-04	1.30882e-04	1.63270e-04	1.98189e-04	2.35679e-04	2.75221e-04	3.16971e-04	3.60549e-04	4.06126e-04	4.52558e-04	5.00597e-04	5.49923e-04	6.00343e-04	6.51630e-04
6TSL_NOR2B_acceff	3.73168e-15	3.82008e-15	3.91356e-15	4.00998e-15	4.10824e-15	4.20793e-15	4.30701e-15	4.40799e-15	4.51120e-15	4.60780e-15	4.70704e-15	4.80767e-15	4.90349e-15	4.99976e-15
6TSL_NOR2B_acreff	4.91683e+03	4.19846e+03	3.67208e+03	3.27752e+03	2.96840e+03	2.72364e+03	2.52266e+03	2.35645e+03	2.21513e+03	2.09834e+03	1.99685e+03	1.90866e+03	1.83163e+03	1.76419e+03
6TSL_NAND3B	2.18001e+01	1.89496e+01	1.68894e+01	1.53662e+01	1.42011e+01	1.32819e+01	1.25555e+01	1.19694e+01	1.14842e+01	1.10849e+01	1.07472e+01	1.04705e+01	1.02287e+01	1.00346e+01
6TSL_NAND3B_iddq	3.54161e-08	3.76088e-08	3.99125e-08	4.23328e-08	4.48863e-08	4.75842e-08	5.04374e-08	5.34794e-08	5.67324e-08	6.02407e-08	6.40543e-08	6.82676e-08	7.29972e-08	7.84706e-08
6TSL_NAND3B_iddarail	9.71774e-05	1.25898e-04	1.57758e-04	1.92404e-04	2.29577e-04	2.68981e-04	3.10348e-04	3.53691e-04	3.98905e-04	4.45154e-04	4.93104e-04	5.41903e-04	5.92008e-04	6.42739e-04
6TSL_NAND3B_acceff	4.24031e-15	4.34048e-15	4.44320e-15	4.55066e-15	4.65948e-15	4.76525e-15	4.87243e-15	4.98220e-15	5.09171e-15	5.19575e-15	5.30101e-15	5.40529e-15	5.50647e-15	5.60985e-15
6TSL_NAND3B_acreff	5.14114e+03	4.36578e+03	3.80119e+03	3.37669e+03	3.04779e+03	2.78723e+03	2.57684e+03	2.40244e+03	2.25548e+03	2.13346e+03	2.02739e+03	1.93708e+03	1.85758e+03	1.78874e+03
6TSL_AOI21	2.32366e+01	2.02516e+01	1.81144e+01	1.65164e+01	1.52790e+01	1.43143e+01	1.35344e+01	1.29247e+01	1.24064e+01	1.19891e+01	1.16305e+01	1.13325e+01	1.10845e+01	1.08646e+01
6TSL_AOI21_iddq	5.38042e-08	5.68712e-08	6.00742e-08	6.34270e-08	6.69409e-08	7.06379e-08	7.45293e-08	7.86371e-08	8.30114e-08	8.76854e-08	9.27369e-08	9.82658e-08	1.04394e-07	1.11344e-07
6TSL_AOI21_iddarail	8.59865e-05	1.11118e-04	1.38796e-04	1.68894e-04	2.01300e-04	2.35821e-04	2.72264e-04	3.10050e-04	3.49807e-04	3.90805e-04	4.33168e-04	4.77076e-04	5.21312e-04	5.67433e-04
6TSL_AOI21_acceff	4.00157e-15	4.09609e-15	4.19433e-15	4.29512e-15	4.39704e-15	4.50379e-15	4.60894e-15	4.71711e-15	4.82458e-15	4.93446e-15	5.04035e-15	5.15135e-15	5.25546e-15	5.36315e-15
6TSL_AOI21_acreff	5.80685e+03	4.94413e+03	4.31879e+03	3.84539e+03	3.47485e+03	3.17828e+03	2.93656e+03	2.73996e+03	2.57150e+03	2.42968e+03	2.30748e+03	2.19991e+03	2.10913e+03	2.02579e+03
6TSL_AOI22	2.63957e+01	2.29825e+01	2.05050e+01	1.86673e+01	1.72567e+01	1.61431e+01	1.52467e+01	1.45240e+01	1.39309e+01	1.34358e+01	1.30153e+01	1.26759e+01	1.23717e+01	1.21157e+01
6TSL_AOI22_iddq	5.44731e-08	5.75873e-08	6.08347e-08	6.42320e-08	6.78013e-08	7.15539e-08	7.55229e-08	7.97251e-08	8.42049e-08	8.90288e-08	9.42746e-08	1.00064e-07	1.06581e-07	1.14131e-07
6TSL_AOI22_iddarail	8.08141e-05	1.04435e-04	1.30630e-04	1.59099e-04	1.89768e-04	2.22407e-04	2.56955e-04	2.93083e-04	3.30720e-04	3.70088e-04	4.10605e-04	4.51928e-04	4.94790e-04	5.38896e-04
